,Temperature,Humidity,Sound_speed_20,0.05,1.16875,2.2874999999999996,3.4062499999999996,4.5249999999999995,5.64375,6.762499999999999,7.881249999999999,9.0
124,38.0,25.0,354.7053843124157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,40.0,25.0,355.96440943557195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,0.0,30.0,331.4637531021629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,2.0,30.0,332.6902943049191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,4.0,30.0,333.9147535079999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,6.0,30.0,335.1375091169191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,8.0,30.0,336.35896388701997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,10.0,30.0,337.57954584316326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,12.0,30.0,338.7997094530246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,14.0,30.0,340.01993684872605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,16.0,30.0,341.24073978548233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,18.0,30.0,342.4626617362682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,20.0,30.0,343.6862823836486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,22.0,30.0,344.91222125960303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,24.0,30.0,346.1411449733277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,26.0,30.0,347.3737763481881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,28.0,30.0,348.61090626210506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,30.0,30.0,349.8534097861001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,32.0,30.0,351.10226630459255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,34.0,30.0,352.35858608649636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,36.0,30.0,353.6236452454987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,38.0,30.0,354.89892580579027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,40.0,30.0,356.1861743110465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,0.0,35.0,331.46679259892124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,2.0,35.0,332.6952409041946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,4.0,35.0,333.92202293101735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,6.0,35.0,335.14757551519926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,8.0,35.0,336.37236556341514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,10.0,35.0,337.59689134966965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,12.0,35.0,338.8216841539734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,14.0,35.0,340.047310049828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,16.0,35.0,341.2743726586723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,18.0,35.0,342.50351619126064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,20.0,35.0,343.73543145307013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,22.0,35.0,344.97086104415934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,24.0,35.0,346.21060898668674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,26.0,35.0,347.45555287865335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,28.0,35.0,348.70665959078644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,30.0,35.0,349.9650064449115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,32.0,35.0,351.23180764938513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,34.0,35.0,352.50844902455253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,36.0,35.0,353.79653352581875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,38.0,35.0,355.0979339118135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,40.0,35.0,356.41486879496034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,0.0,40.0,331.469883142183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,2.0,40.0,332.7002460692198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,4.0,40.0,333.9293619794306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,6.0,40.0,335.15772769821484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,8.0,40.0,336.3858761542817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,10.0,40.0,337.6143781286705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,12.0,40.0,338.8438444863359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,14.0,40.0,340.07492867347855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,16.0,40.0,341.3083304519599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,18.0,40.0,342.5448001093357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,20.0,40.0,343.78514625985736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,22.0,40.0,345.0302429291249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,24.0,40.0,346.281042017871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
